t,skew,phase,vpp,filt,avg,amp,rms
1759793158.3813722,-0.8251000000000001,330.298,0.586458,0.6263,0.494453,0.292604,0.06743902
1759793158.5558581,-0.8151,330.657,0.586458,0.6263,0.482188,0.285885,0.06761226
1759793158.7665527,9.1905,330.859,0.561458,0.62448,0.482188,0.252552,0.0673781
1759793158.9393373,-0.8051,331.01800000000003,0.558333,0.62057,0.479271,0.259375,0.06761946
1759793159.0227013,9.2129,331.666,0.564583,0.62057,0.479271,0.259375,0.06761946
1759793159.1741626,-0.7751,332.096,0.563542,0.62344,0.486224,0.266068,0.06743948
1759793159.364667,-0.7649999999999999,332.459,0.560417,0.6151,0.493307,0.246406,0.06723895
1759793159.5379105,9.2455,332.837,0.571875,0.63125,0.481615,0.252396,0.06745039
1759793159.736429,9.2455,332.837,0.571875,0.78828,0.489063,0.252865,0.06728207
1759793159.9301386,9.2605,333.379,0.563542,0.61901,0.477865,0.252813,0.06751612
1759793160.0936468,9.2707,333.718,1.0,0.79362,0.472005,0.252031,0.06779497
1759793160.2946942,9.2707,333.718,1.0,0.79362,0.476016,0.278958,0.06750408
1759793160.4724832,9.293,334.079,0.557292,0.61211,0.47112,0.265911,0.0676414
1759793160.6453428,9.293,334.53,0.557292,0.61211,0.473542,0.271901,0.06739736
1759793160.7362578,-0.6951,334.978,0.564583,0.62669,0.473542,0.271901,0.06739736
1759793160.8799102,9.3105,335.178,0.558333,0.6138,0.471693,0.279297,0.0675607
1759793161.0552332,9.3105,335.178,0.563542,0.61602,0.480052,0.271979,0.06775701
1759793161.227936,9.321299999999999,335.567,0.563542,0.61602,0.480052,0.271979,0.06798596
1759793161.4253173,9.3355,336.079,0.569792,0.61641,0.486432,0.279245,0.06755707
1759793161.5109334,-0.6601,336.238,0.557292,0.61367,0.475807,0.279219,0.06755707
1759793161.6436706,9.3505,336.619,0.555208,0.61563,0.483307,0.279479,0.06776408
1759793161.8411012,-0.635,336.619,0.563542,0.61576,0.472422,0.259948,0.06735918
1759793162.022053,9.3706,337.34,0.551042,0.60833,0.480339,0.292865,0.06750549
